,Date,Ngene_norm,Ngene,NgeneUCI,NgeneLCI,PMMoV,PMMoV UCI,PMMoV LCI,Ngene_norm_int,positives,Testing,City,pos_rate,positives_raw
59,2022-01-29,0.0001166953423422,87295.0337033774,92107.97166519825,82482.51578267255,748059279.4126287,781123233.362702,715830493.9794421,0.0001166953423422,33.0,1794.0,Davis,0.01839464882943144,33.0
60,2022-01-30,0.0001968258144065,143030.5665539157,151578.63657961637,134483.21434759314,726686014.1549058,758057756.3214048,695771379.3682796,0.0001968258144065,26.0,751.0,Davis,0.03462050599201065,26.0
61,2022-01-31,9.564971270007248e-05,86413.97631231231,95102.17845045046,77572.41302102104,903442089.6096096,953035555.0750751,856536663.5435437,9.564971270007248e-05,23.0,932.0,Davis,0.02467811158798283,23.0
62,2022-02-01,9.41285449846817e-05,103638.0674601626,111357.19112845532,95739.837398374,1101026978.3414636,1149779995.577236,1060179989.3333334,9.41285449846817e-05,26.0,1739.0,Davis,0.014951121334100058,26.0
63,2022-02-02,0.0001074332806566,105210.80380952382,111614.0078095238,97933.17130158732,979312957.4603174,1006543549.84127,953749399.3650794,0.0001074332806566,19.0,1469.0,Davis,0.012933968686181076,19.0
64,2022-02-03,0.0002356388306133,240909.5400838096,250084.80981333336,231849.75762285717,1022367745.8285716,1044319940.2666668,1002977771.2761904,0.0002356388306133,22.0,2290.0,Davis,0.00960698689956332,22.0
65,2022-02-04,5.463221272757263e-05,50025.22275432528,54005.49196770474,46221.63078200693,915672645.436852,930983331.9816896,900553047.5057682,5.463221272757263e-05,18.0,2037.0,Davis,0.008836524300441826,18.0
66,2022-02-05,9.116362552363268e-05,74551.34972357724,82538.41866666668,67971.55518699189,817775173.98374,858358442.276423,779499233.8211383,9.116362552363268e-05,25.0,1495.0,Davis,0.016722408026755852,25.0
67,2022-02-06,4.307837872721052e-05,113593.78121546964,122499.53968324128,104653.97846040515,2636909386.3720074,2749850548.213628,2540349296.2062616,4.307837872721052e-05,24.0,494.0,Davis,0.048582995951417005,24.0
68,2022-02-07,3.637671753234161e-05,43749.1943169399,47047.02093989072,40451.58135956285,1202670204.5901642,1228244135.0819676,1179498057.704918,3.637671753234161e-05,11.0,786.0,Davis,0.013994910941475827,11.0
69,2022-02-08,7.959300901226814e-05,85030.66647360483,91085.57490196078,79817.3389321267,1068318279.8190044,1095056354.7511313,1037473192.6395174,7.959300901226814e-05,11.0,773.0,Davis,0.014230271668822769,11.0
70,2022-02-09,8.399131223703126e-05,66661.49794594594,71510.36990270272,61694.74830990992,793671347.3153154,836849486.4144144,750264727.6396397,8.399131223703126e-05,32.0,2032.0,Davis,0.015748031496062992,32.0
71,2022-02-10,0.0001203270950331,104168.2236734694,113943.1259319728,94095.9826394558,865708788.5714285,912830004.8979592,822074713.4693878,0.0001203270950331,11.0,1552.0,Davis,0.007087628865979381,11.0
72,2022-02-11,9.06074877082371e-05,65210.388011905714,76358.4410590965,54722.96970973705,719701976.7492952,767548182.5773549,671065181.0829818,9.06074877082371e-05,22.0,1969.0,Davis,0.0111731843575419,22.0
73,2022-02-12,6.325930597424709e-05,40358.24180668236,48882.8838380993,32503.636678059876,637981103.0982893,662751235.3098284,616845327.5240369,6.325930597424709e-05,8.0,1416.0,Davis,0.005649717514124294,8.0
74,2022-02-13,4.055426094895375e-05,127881.03337873516,145346.77873577998,112288.43822813868,3153331620.065791,3343922697.3684216,3001195860.745617,4.055426094895375e-05,8.0,848.0,Davis,0.009433962264150943,8.0
